时间,,,,三次产业构成-第一产业增加值(%),三次产业构成-第二产业增加值(%),三次产业构成-第三产业增加值(%),,,
1978,100,100,100,0.277,0.477,0.246,,,
1979,106.1,108.2,107.8,0.307,0.47,0.223,,,
1980,104.6,122.8,114.4,0.296,0.481,0.223,,,
1981,111.9,125.1,125.3,0.313,0.46,0.227,,,
1982,124.8,132.1,141.2,0.328,0.446,0.226,,,
1983,135.1,145.8,161.9,0.326,0.442,0.232,,,
1984,152.6,166.9,193.2,0.315,0.429,0.255,,,
1985,155.4,197.6,228.3,0.279,0.427,0.294,,,
1986,160.5,217.8,256.4,0.266,0.435,0.298,,,
1987,168.1,247.4,294,0.263,0.433,0.304,,,
1988,172.3,282.8,332.7,0.252,0.435,0.312,,,
1989,177.6,293.4,352.2,0.246,0.425,0.329,,,
1990,190.7,302.8,361.6,0.266,0.41,0.324,,,
1991,195.2,344.5,394.8,0.24,0.415,0.345,,,
1992,204.2,416.9,444.6,0.213,0.431,0.356,,,
1993,213.7,499.3,498.7,0.193,0.462,0.345,,,
1994,222.2,589.8,555.4,0.195,0.462,0.344,,,
1995,233.1,671.4,611.4,0.196,0.468,0.337,,,
1996,244.9,752.6,667.7,0.193,0.471,0.336,,,
1997,253.3,831.4,737.4,0.179,0.471,0.35,,,
1998,262,905.5,799.3,0.172,0.458,0.37,,,
1999,269.2,979.7,873.3,0.161,0.454,0.386,,,
2000,275.4,1072.6,958.6,0.147,0.455,0.398,,,
2001,282.7,1163.6,1057,0.14,0.448,0.412,,,
2002,290.3,1278.8,1167.8,0.133,0.445,0.422,,,
2003,297.2,1440.8,1279.2,0.123,0.456,0.42,,,
2004,315.4,1601.3,1408.7,0.129,0.459,0.412,,,
2005,331.4,1795.6,1582.8,0.116,0.47,0.413,,,
2006,347.1,2037.1,1806.5,0.106,0.476,0.418,,,
2007,359.3,2343.7,2096.8,0.102,0.469,0.429,,,
2008,377.9,2574.3,2316.5,0.102,0.47,0.429,,,
2009,393,2839.2,2538.5,0.096,0.46,0.444,,,
2010,409.7,3199.3,2784,0.093,0.465,0.442,,,
2011,426.8,3541.3,3048.1,0.092,0.465,0.443,,,
2012,445.9,3837.5,3292.4,0.091,0.454,0.455,,,
2013,462.8,4144,3565.7,0.089,0.442,0.469,,,
2014,481.6,4440.5,3863.1,0.086,0.431,0.483,,,
2015,500.4,4703.7,4202.2,0.084,0.408,0.508,,,
2016,516.8,4987.4,4542.4,0.081,0.396,0.524,,,
2017,537.2,5280.1,4918,0.075,0.399,0.527,,,
2018,555.9,5585.9,5310.7,0.07,0.397,0.533,,,
2019,573.1,5858.2,5692,0.071,0.386,0.543,,,
2020,591,6002.6,5802.9,0.077,0.378,0.545,,,
2021,632.8,6523.2,6295.3,0.072,0.393,0.535,,,
2022,659,6768.3,6439.7,0.073,0.399,0.528,,,
