玩牌人数,单张,对子,金花,顺子,同花顺,豹子
1,744167,169165,49335,32727,2191,2415
2,934419,309668,96919,63815,4324,4774
3,982895,425269,141777,94659,6372,6997
4,995412,522779,183950,124439,8750,9374
5,998856,602359,224149,152740,10766,11729
6,999706,669461,262507,180109,12979,13928
7,999908,724858,297695,206478,15134,16582
8,999981,770636,333067,232554,17143,18591
9,999994,809099,365108,257091,19538,21034
10,999999,841220,396569,281286,21791,23511
11,1000000,866818,425880,305315,23727,25555
12,1000000,888828,453068,326319,25664,27890
13,1000000,906853,481182,349684,27791,29697
14,1000000,922800,506098,369797,30161,32708
15,1000000,935078,529985,391046,32148,34852
16,1000000,945843,553440,410497,33903,36547
17,1000000,954502,573563,429973,35980,39137
